family,n,signed_mean_error_eV_per_atom,median_ae,rmse,p90_ae,p95_ae,n_top_decile,worst_decile_ae_share,target_q1_bound,target_q2_bound,target_q3_bound,mae_target_q1,mae_target_q2,mae_target_q3,mae_target_q4
oxide,1484,-0.00833,0.01545,0.07002,0.07865,0.14216,149,0.5079,-2.5760,-1.9935,-1.3633,0.02611,0.02934,0.02950,0.05179
nitride,242,-0.01628,0.04194,0.10956,0.18068,0.22724,25,0.3926,-1.1340,-0.3120,0.2623,0.04726,0.04400,0.07574,0.11086
