trace_id,scenario,estimand,point_estimate,bootstrap_mean,bootstrap_standard_error,ci_low,ci_high,confidence_level,ci_method,quantile_method,n_replicates,master_seed,oxide_spawn_key,nitride_spawn_key,oxide_n,nitride_n,units
P5-OB-001,inclusive_oxide_vs_nitride,oxide_mae,0.034183606808130963,0.034182664341093343,0.0015827615126394906,0.031215907682960294,0.037396858213785279,0.94999999999999996,percentile,linear,50000,42,[0],[1],1484,242,eV/atom
P5-OB-002,inclusive_oxide_vs_nitride,nitride_mae,0.069542014962848536,0.069527767561538598,0.0054237014066130119,0.059277311891626466,0.080615214119735087,0.94999999999999996,percentile,linear,50000,42,[0],[1],1484,242,eV/atom
P5-OB-003,inclusive_oxide_vs_nitride,mae_difference_nitride_minus_oxide,0.035358408154717573,0.035345103220445248,0.0056435124413975486,0.024580563798205828,0.046764391607497027,0.94999999999999996,percentile,linear,50000,42,[0],[1],1484,242,eV/atom
P5-OB-004,inclusive_oxide_vs_nitride,mae_ratio_nitride_over_oxide,2.0343673899942929,2.0383349306352891,0.18472578628440134,1.6951578388105906,2.4211787710075585,0.94999999999999996,percentile,linear,50000,42,[0],[1],1484,242,dimensionless
P5-OB-005,pure_oxide_filtered_vs_nitride,oxide_mae,0.033899888911100233,0.033902119518150427,0.0016209854393881302,0.030848752369173449,0.037182492655263091,0.94999999999999996,percentile,linear,50000,42,[2],[3],1427,242,eV/atom
P5-OB-006,pure_oxide_filtered_vs_nitride,nitride_mae,0.069542014962848536,0.069567671132590991,0.0054336179339799125,0.059255153867191768,0.080562530360724305,0.94999999999999996,percentile,linear,50000,42,[2],[3],1427,242,eV/atom
P5-OB-007,pure_oxide_filtered_vs_nitride,mae_difference_nitride_minus_oxide,0.035642126051748303,0.035665551614440544,0.0056652326220040317,0.024957892963570739,0.047046894330847529,0.94999999999999996,percentile,linear,50000,42,[2],[3],1427,242,eV/atom
P5-OB-008,pure_oxide_filtered_vs_nitride,mae_ratio_nitride_over_oxide,2.051393594392505,2.0566849573431982,0.18830841850269067,1.7099414923583072,2.4435903933522591,0.94999999999999996,percentile,linear,50000,42,[2],[3],1427,242,dimensionless
