trace_id,embedding_source,distance_metric,statistic,comparison,value,ci_low,ci_high,ci_level,p_value,p_value_bh_fdr_within_statistic,p_value_method,test_alternative,n_nitrides,n_oxide_reference,hard_nitrides_count,easy_nitrides_count,k_oxide_neighbors,analysis_space,error_metric,hard_group_distance_summary,easy_group_distance_summary,mahalanobis_status,mahalanobis_condition_number,mahalanobis_shrinkage,bootstrap_iterations,permutation_iterations,rng_seed,bh_fdr_family,bh_fdr_family_size
P5-DN-021,last_alignn_pool,oxide_mahalanobis_lw_distance,spearman_correlation,nitride_canonical_abs_error_vs_distance,0.24468118885319942,0.10947841052705115,0.36625868171464265,0.94999999999999996,9.9990000999900015e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,canonical_absolute_zero_shot_error,,,computed_ledoit_wolf_stable,3145.4176767010622,0.0006563927738960449,5000,10000,144,legacy_nine_source_by_distance_cells_within_statistic,9
P5-DN-022,last_alignn_pool,oxide_mahalanobis_lw_distance,pearson_correlation,nitride_canonical_abs_error_vs_distance,0.20793683515132969,0.082351905493517286,0.34390399135138827,0.94999999999999996,0.00099990000999900007,0.00099990000999900007,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,canonical_absolute_zero_shot_error,,,computed_ledoit_wolf_stable,3145.4176767010622,0.0006563927738960449,5000,10000,144,legacy_nine_source_by_distance_cells_within_statistic,9
P5-DN-023,last_alignn_pool,oxide_mahalanobis_lw_distance,hard_minus_easy_mean_distance,hard_top_20pct_vs_easy_bottom_20pct,4.5800627781385828,1.5396061052954169,7.5257965565928604,0.94999999999999996,0.0024997500249975004,0.0028122187781221878,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,canonical_absolute_zero_shot_error,36.86538613347714,32.285323355338555,computed_ledoit_wolf_stable,3145.4176767010622,0.0006563927738960449,5000,10000,144,legacy_nine_source_by_distance_cells_within_statistic,9
P5-DN-024,last_alignn_pool,oxide_mahalanobis_lw_distance,hard_minus_easy_median_distance,hard_top_20pct_vs_easy_bottom_20pct,5.4518993455431506,1.0018317023270029,8.3775206555180439,0.94999999999999996,0.0011998800119988001,0.0017998200179982001,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,canonical_absolute_zero_shot_error,37.05964502420598,31.607745678662827,computed_ledoit_wolf_stable,3145.4176767010622,0.0006563927738960449,5000,10000,144,legacy_nine_source_by_distance_cells_within_statistic,9
P5-DN-025,last_gcn_pool,oxide_centroid_distance,spearman_correlation,nitride_canonical_abs_error_vs_distance,0.25678851467861907,0.13478888465907546,0.37076668370696703,0.94999999999999996,9.9990000999900015e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,canonical_absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.8316186283791,0.00050082434852538116,5000,10000,242,legacy_nine_source_by_distance_cells_within_statistic,9
P5-DN-026,last_gcn_pool,oxide_centroid_distance,pearson_correlation,nitride_canonical_abs_error_vs_distance,0.30447550760379205,0.20878062183432844,0.39914286311387587,0.94999999999999996,9.9990000999900015e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,canonical_absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.8316186283791,0.00050082434852538116,5000,10000,242,legacy_nine_source_by_distance_cells_within_statistic,9
P5-DN-027,last_gcn_pool,oxide_centroid_distance,hard_minus_easy_mean_distance,hard_top_20pct_vs_easy_bottom_20pct,1.2214544506863181,0.59964761192851679,1.8273277676007456,0.94999999999999996,9.9990000999900015e-05,0.00017998200179982003,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,canonical_absolute_zero_shot_error,7.91281087549338,6.691356424807062,computed_ledoit_wolf_stable,7296.8316186283791,0.00050082434852538116,5000,10000,242,legacy_nine_source_by_distance_cells_within_statistic,9
P5-DN-028,last_gcn_pool,oxide_centroid_distance,hard_minus_easy_median_distance,hard_top_20pct_vs_easy_bottom_20pct,1.1068580924646865,0.25700808780629547,2.254457441876526,0.94999999999999996,0.0019998000199980001,0.0022497750224977501,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,canonical_absolute_zero_shot_error,7.890359234524937,6.783501142060251,computed_ledoit_wolf_stable,7296.8316186283791,0.00050082434852538116,5000,10000,242,legacy_nine_source_by_distance_cells_within_statistic,9
P5-DN-029,last_gcn_pool,oxide_knn5_mean_distance,spearman_correlation,nitride_canonical_abs_error_vs_distance,0.4109721211443832,0.29647273760367071,0.51574333398102779,0.94999999999999996,9.9990000999900015e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,5,raw_256d_embedding_vectors,canonical_absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.8316186283791,0.00050082434852538116,5000,10000,243,legacy_nine_source_by_distance_cells_within_statistic,9
P5-DN-030,last_gcn_pool,oxide_knn5_mean_distance,pearson_correlation,nitride_canonical_abs_error_vs_distance,0.34052471913811938,0.25287657070954134,0.43653451325368353,0.94999999999999996,9.9990000999900015e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,5,raw_256d_embedding_vectors,canonical_absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.8316186283791,0.00050082434852538116,5000,10000,243,legacy_nine_source_by_distance_cells_within_statistic,9
P5-DN-031,last_gcn_pool,oxide_knn5_mean_distance,hard_minus_easy_mean_distance,hard_top_20pct_vs_easy_bottom_20pct,0.94717433986041488,0.59253746875380675,1.3243031895649227,0.94999999999999996,9.9990000999900015e-05,0.00017998200179982003,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,5,raw_256d_embedding_vectors,canonical_absolute_zero_shot_error,4.581252288415061,3.634077948554646,computed_ledoit_wolf_stable,7296.8316186283791,0.00050082434852538116,5000,10000,243,legacy_nine_source_by_distance_cells_within_statistic,9
P5-DN-032,last_gcn_pool,oxide_knn5_mean_distance,hard_minus_easy_median_distance,hard_top_20pct_vs_easy_bottom_20pct,0.93140919550251855,0.38747549658008396,1.2944964762215601,0.94999999999999996,9.9990000999900015e-05,0.00029997000299970003,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,5,raw_256d_embedding_vectors,canonical_absolute_zero_shot_error,4.508779807548107,3.5773706120455886,computed_ledoit_wolf_stable,7296.8316186283791,0.00050082434852538116,5000,10000,243,legacy_nine_source_by_distance_cells_within_statistic,9
P5-DN-033,last_gcn_pool,oxide_mahalanobis_lw_distance,spearman_correlation,nitride_canonical_abs_error_vs_distance,0.30650992086928214,0.1859727880469223,0.42254123906800417,0.94999999999999996,9.9990000999900015e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,canonical_absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.8316186283791,0.00050082434852538116,5000,10000,244,legacy_nine_source_by_distance_cells_within_statistic,9
P5-DN-034,last_gcn_pool,oxide_mahalanobis_lw_distance,pearson_correlation,nitride_canonical_abs_error_vs_distance,0.30516979308363129,0.19391861029959537,0.41427949524361118,0.94999999999999996,9.9990000999900015e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,canonical_absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.8316186283791,0.00050082434852538116,5000,10000,244,legacy_nine_source_by_distance_cells_within_statistic,9
P5-DN-035,last_gcn_pool,oxide_mahalanobis_lw_distance,hard_minus_easy_mean_distance,hard_top_20pct_vs_easy_bottom_20pct,5.6805293073286975,2.6453211465925901,8.6230173737177243,0.94999999999999996,0.00019998000199980003,0.00029997000299970003,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,canonical_absolute_zero_shot_error,33.39454601657888,27.71401670925018,computed_ledoit_wolf_stable,7296.8316186283791,0.00050082434852538116,5000,10000,244,legacy_nine_source_by_distance_cells_within_statistic,9
P5-DN-036,last_gcn_pool,oxide_mahalanobis_lw_distance,hard_minus_easy_median_distance,hard_top_20pct_vs_easy_bottom_20pct,6.2830880217258063,2.8708303870252934,9.0370355101128581,0.94999999999999996,0.0011998800119988001,0.0017998200179982001,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,canonical_absolute_zero_shot_error,33.08814327184146,26.805055250115654,computed_ledoit_wolf_stable,7296.8316186283791,0.00050082434852538116,5000,10000,244,legacy_nine_source_by_distance_cells_within_statistic,9
