trace_id,set_id,set_role,experiment_type,family,N,n_seeds,mae_mean,mae_sample_sd,best_epoch_mean,best_epoch_min,best_epoch_max,run_trace_ids
P5-A033,3,robustness,fine_tune,oxide,10,5,0.03626644351300621,0.0020007697665673286,1.0,1,1,P5-R161;P5-R162;P5-R163;P5-R164;P5-R165
P5-A034,3,robustness,fine_tune,oxide,50,5,0.03843828601504719,0.0019562070212028,36.2,1,59,P5-R166;P5-R167;P5-R168;P5-R169;P5-R170
P5-A035,3,robustness,fine_tune,oxide,100,5,0.03685196933246813,0.0012964389844158286,67.0,27,94,P5-R171;P5-R172;P5-R173;P5-R174;P5-R175
P5-A036,3,robustness,fine_tune,oxide,200,5,0.03616901594581273,0.00019833650801774624,65.8,33,90,P5-R176;P5-R177;P5-R178;P5-R179;P5-R180
P5-A037,3,robustness,fine_tune,oxide,500,5,0.03586478150174187,0.0003080171994573532,58.8,31,98,P5-R181;P5-R182;P5-R183;P5-R184;P5-R185
P5-A038,3,robustness,fine_tune,oxide,1000,5,0.03557093361090753,0.00018881905064932502,57.0,31,88,P5-R186;P5-R187;P5-R188;P5-R189;P5-R190
P5-A039,3,robustness,fine_tune,nitride,10,5,0.07040743217457177,0.00020170185651321526,1.0,1,1,P5-R191;P5-R192;P5-R193;P5-R194;P5-R195
P5-A040,3,robustness,fine_tune,nitride,50,5,0.07070910884606198,0.0006031955241052261,1.0,1,1,P5-R196;P5-R197;P5-R198;P5-R199;P5-R200
P5-A041,3,robustness,fine_tune,nitride,100,5,0.0717608487141157,0.0007595631023562334,1.0,1,1,P5-R201;P5-R202;P5-R203;P5-R204;P5-R205
P5-A042,3,robustness,fine_tune,nitride,200,5,0.07440425269767519,0.000639832961218868,1.0,1,1,P5-R206;P5-R207;P5-R208;P5-R209;P5-R210
P5-A043,3,robustness,fine_tune,nitride,500,5,0.08152308751759697,0.0015137550686204503,78.6,59,94,P5-R211;P5-R212;P5-R213;P5-R214;P5-R215
P5-A044,3,robustness,fine_tune,nitride,1000,5,0.07635745454949042,0.00019905753158595078,78.4,71,87,P5-R216;P5-R217;P5-R218;P5-R219;P5-R220
P5-A045,3,robustness,from_scratch,oxide,50,5,0.6556934855821557,0.10328993102290701,60.8,30,97,P5-R221;P5-R222;P5-R223;P5-R224;P5-R225
P5-A046,3,robustness,from_scratch,oxide,500,5,0.26901224717090527,0.008698818189298373,71.8,59,97,P5-R226;P5-R227;P5-R228;P5-R229;P5-R230
P5-A047,3,robustness,from_scratch,nitride,50,5,0.7233623015270992,0.06314405915175907,31.6,1,66,P5-R231;P5-R232;P5-R233;P5-R234;P5-R235
P5-A048,3,robustness,from_scratch,nitride,500,5,0.37228746603527835,0.02485215010337593,79.2,58,96,P5-R236;P5-R237;P5-R238;P5-R239;P5-R240
