family,N,seed_0,seed_1,seed_2,seed_3,seed_4
nitride,10,0.0706750171813221,0.07035530142270582,0.07016121589170754,0.07029903026620958,0.0705313472816151
nitride,50,0.07131765058556618,0.07122709850726788,0.0738434412801438,0.07079923387678448,0.07116951574071133
nitride,100,0.07457861391257894,0.07668426000967252,0.07850182431265096,0.07359627905986772,0.07499829198672506
nitride,200,0.08637154872783205,0.08519118266133976,0.08460780789629241,0.08527792489140733,0.08495875193221757
nitride,500,0.0796709986372797,0.08017900880918769,0.07871647680193679,0.07792982184289654,0.07873929706825451
nitride,1000,0.07575768517899859,0.07429133859763215,0.07676153222853241,0.07628011868974148,0.07577396422039626
oxide,10,0.03914442616863166,0.03735777772972461,0.0346006281644726,0.035633052163161184,0.03447181468743535
oxide,50,0.03751217836788366,0.03962733690778165,0.0365753312153689,0.036241260656711675,0.04002822036217933
oxide,100,0.03635439455507303,0.036676712370084755,0.03701010250597515,0.03604405455249224,0.038285568407504515
oxide,200,0.036765041385339245,0.03638788056450035,0.036470926337407256,0.0361465084100722,0.03713763155111531
oxide,500,0.036267172872318544,0.036367783665116074,0.03593068712060227,0.03617321007594471,0.036199952702438386
oxide,1000,0.035983783924215376,0.03614292015472798,0.0359479886665752,0.035967013940015544,0.03581004907678928
