family,N,scratch_runs,scratch_mean_test_mae_eV_per_atom,scratch_std_test_mae_eV_per_atom,finetune_runs,finetune_mean_test_mae_eV_per_atom,finetune_std_test_mae_eV_per_atom,zero_shot_mae_eV_per_atom,zero_shot_minus_finetune_mae_eV_per_atom,scratch_minus_finetune_mae_eV_per_atom
nitride,50,5.0,0.6914345625279978,0.01630822299466673,5,0.07167138799809468,0.0012301287882567015,0.0695420149628485,-0.002129373035246185,0.6197631745299031
nitride,500,5.0,0.3682740165490257,0.023305927781258732,5,0.079047120631911,0.0008835768053792632,0.0695420149628485,-0.0095051056690625,0.2892268959171147
oxide,50,5.0,0.5560532795358512,0.05234908833632354,5,0.037996865501985,0.0017408811915156177,0.0341836068081309,-0.003813258693854099,0.5180564140338662
oxide,500,5.0,0.2643359895387973,0.022803815863399746,5,0.03618776128728394,0.0001621432637268869,0.0341836068081309,-0.0020041544791530377,0.22814822825151335
