id,description,family,protocol,N,seed,metric_name,value_display,units,source_path,selector
P1-C2-SET2-NITRIDE-N100-STD_TEST_MAE_EV_PER_ATOM,sample_sd,nitride,protocol_2,100,,std_test_mae_eV_per_atom,0.00030,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""std_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""100"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N100-TRANSFER_GAIN_VS_ZERO_SHOT,difference,nitride,protocol_2,100,,transfer_gain_vs_zero_shot,-0.00122,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""transfer_gain_vs_zero_shot"",""type"":""csv_cell"",""where"":{""N"":""100"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N1000-MEAN_BEST_EPOCH,mean,nitride,protocol_2,1000,,mean_best_epoch,92.4,epoch,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_best_epoch"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N1000-MEAN_TEST_MAE_EV_PER_ATOM,mean,nitride,protocol_2,1000,,mean_test_mae_eV_per_atom,0.07461,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N1000-SEED0-MAE,seed_value,nitride,protocol_2,1000,0,test_mae,0.07353,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""nitride"",""seed"":""0""}}"
P1-C2-SET2-NITRIDE-N1000-SEED1-MAE,seed_value,nitride,protocol_2,1000,1,test_mae,0.07494,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""nitride"",""seed"":""1""}}"
P1-C2-SET2-NITRIDE-N1000-SEED2-MAE,seed_value,nitride,protocol_2,1000,2,test_mae,0.07479,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""nitride"",""seed"":""2""}}"
P1-C2-SET2-NITRIDE-N1000-SEED3-MAE,seed_value,nitride,protocol_2,1000,3,test_mae,0.07407,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""nitride"",""seed"":""3""}}"
P1-C2-SET2-NITRIDE-N1000-SEED4-MAE,seed_value,nitride,protocol_2,1000,4,test_mae,0.07573,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""nitride"",""seed"":""4""}}"
P1-C2-SET2-NITRIDE-N1000-STD_TEST_MAE_EV_PER_ATOM,sample_sd,nitride,protocol_2,1000,,std_test_mae_eV_per_atom,0.00085,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""std_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N1000-TRANSFER_GAIN_VS_ZERO_SHOT,difference,nitride,protocol_2,1000,,transfer_gain_vs_zero_shot,-0.00507,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""transfer_gain_vs_zero_shot"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N200-MEAN_BEST_EPOCH,mean,nitride,protocol_2,200,,mean_best_epoch,1.0,epoch,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_best_epoch"",""type"":""csv_cell"",""where"":{""N"":""200"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N200-MEAN_TEST_MAE_EV_PER_ATOM,mean,nitride,protocol_2,200,,mean_test_mae_eV_per_atom,0.07127,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""200"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N200-SEED0-MAE,seed_value,nitride,protocol_2,200,0,test_mae,0.07115,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""200"",""family"":""nitride"",""seed"":""0""}}"
P1-C2-SET2-NITRIDE-N200-SEED1-MAE,seed_value,nitride,protocol_2,200,1,test_mae,0.07197,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""200"",""family"":""nitride"",""seed"":""1""}}"
P1-C2-SET2-NITRIDE-N200-SEED2-MAE,seed_value,nitride,protocol_2,200,2,test_mae,0.07100,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""200"",""family"":""nitride"",""seed"":""2""}}"
P1-C2-SET2-NITRIDE-N200-SEED3-MAE,seed_value,nitride,protocol_2,200,3,test_mae,0.07122,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""200"",""family"":""nitride"",""seed"":""3""}}"
P1-C2-SET2-NITRIDE-N200-SEED4-MAE,seed_value,nitride,protocol_2,200,4,test_mae,0.07101,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""200"",""family"":""nitride"",""seed"":""4""}}"
P1-C2-SET2-NITRIDE-N200-STD_TEST_MAE_EV_PER_ATOM,sample_sd,nitride,protocol_2,200,,std_test_mae_eV_per_atom,0.00040,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""std_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""200"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N200-TRANSFER_GAIN_VS_ZERO_SHOT,difference,nitride,protocol_2,200,,transfer_gain_vs_zero_shot,-0.00173,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""transfer_gain_vs_zero_shot"",""type"":""csv_cell"",""where"":{""N"":""200"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N50-MEAN_BEST_EPOCH,mean,nitride,protocol_2,50,,mean_best_epoch,1.4,epoch,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_best_epoch"",""type"":""csv_cell"",""where"":{""N"":""50"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N50-MEAN_TEST_MAE_EV_PER_ATOM,mean,nitride,protocol_2,50,,mean_test_mae_eV_per_atom,0.07022,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""50"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N50-SEED0-MAE,seed_value,nitride,protocol_2,50,0,test_mae,0.07118,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""50"",""family"":""nitride"",""seed"":""0""}}"
P1-C2-SET2-NITRIDE-N50-SEED1-MAE,seed_value,nitride,protocol_2,50,1,test_mae,0.06995,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""50"",""family"":""nitride"",""seed"":""1""}}"
P1-C2-SET2-NITRIDE-N50-SEED2-MAE,seed_value,nitride,protocol_2,50,2,test_mae,0.07036,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""50"",""family"":""nitride"",""seed"":""2""}}"
P1-C2-SET2-NITRIDE-N50-SEED3-MAE,seed_value,nitride,protocol_2,50,3,test_mae,0.06975,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""50"",""family"":""nitride"",""seed"":""3""}}"
P1-C2-SET2-NITRIDE-N50-SEED4-MAE,seed_value,nitride,protocol_2,50,4,test_mae,0.06987,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""50"",""family"":""nitride"",""seed"":""4""}}"
P1-C2-SET2-NITRIDE-N50-STD_TEST_MAE_EV_PER_ATOM,sample_sd,nitride,protocol_2,50,,std_test_mae_eV_per_atom,0.00058,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""std_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""50"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N50-TRANSFER_GAIN_VS_ZERO_SHOT,difference,nitride,protocol_2,50,,transfer_gain_vs_zero_shot,-0.00068,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""transfer_gain_vs_zero_shot"",""type"":""csv_cell"",""where"":{""N"":""50"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N500-MEAN_BEST_EPOCH,mean,nitride,protocol_2,500,,mean_best_epoch,47.2,epoch,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_best_epoch"",""type"":""csv_cell"",""where"":{""N"":""500"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N500-MEAN_TEST_MAE_EV_PER_ATOM,mean,nitride,protocol_2,500,,mean_test_mae_eV_per_atom,0.07574,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""500"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N500-SEED0-MAE,seed_value,nitride,protocol_2,500,0,test_mae,0.07645,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""500"",""family"":""nitride"",""seed"":""0""}}"
P1-C2-SET2-NITRIDE-N500-SEED1-MAE,seed_value,nitride,protocol_2,500,1,test_mae,0.07659,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""500"",""family"":""nitride"",""seed"":""1""}}"
P1-C2-SET2-NITRIDE-N500-SEED2-MAE,seed_value,nitride,protocol_2,500,2,test_mae,0.07564,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""500"",""family"":""nitride"",""seed"":""2""}}"
P1-C2-SET2-NITRIDE-N500-SEED3-MAE,seed_value,nitride,protocol_2,500,3,test_mae,0.07395,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""500"",""family"":""nitride"",""seed"":""3""}}"
P1-C2-SET2-NITRIDE-N500-SEED4-MAE,seed_value,nitride,protocol_2,500,4,test_mae,0.07610,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""500"",""family"":""nitride"",""seed"":""4""}}"
P1-C2-SET2-NITRIDE-N500-STD_TEST_MAE_EV_PER_ATOM,sample_sd,nitride,protocol_2,500,,std_test_mae_eV_per_atom,0.00107,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""std_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""500"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N500-TRANSFER_GAIN_VS_ZERO_SHOT,difference,nitride,protocol_2,500,,transfer_gain_vs_zero_shot,-0.00620,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""transfer_gain_vs_zero_shot"",""type"":""csv_cell"",""where"":{""N"":""500"",""family"":""nitride""}}"
P1-C2-SET2-OXIDE-N10-MEAN_BEST_EPOCH,mean,oxide,protocol_2,10,,mean_best_epoch,5.2,epoch,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_best_epoch"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""oxide""}}"
P1-C2-SET2-OXIDE-N10-MEAN_TEST_MAE_EV_PER_ATOM,mean,oxide,protocol_2,10,,mean_test_mae_eV_per_atom,0.03677,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""oxide""}}"
P1-C2-SET2-OXIDE-N10-SEED0-MAE,seed_value,oxide,protocol_2,10,0,test_mae,0.03848,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""oxide"",""seed"":""0""}}"
P1-C2-SET2-OXIDE-N10-SEED1-MAE,seed_value,oxide,protocol_2,10,1,test_mae,0.04156,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""oxide"",""seed"":""1""}}"
P1-C2-SET2-OXIDE-N10-SEED2-MAE,seed_value,oxide,protocol_2,10,2,test_mae,0.03435,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""oxide"",""seed"":""2""}}"
P1-C2-SET2-OXIDE-N10-SEED3-MAE,seed_value,oxide,protocol_2,10,3,test_mae,0.03511,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""oxide"",""seed"":""3""}}"
