dataset,dataset_label,embedding_source,embedding_dim,metric_name,metric_scope,value,ci_low,ci_high,ci_level,ci_method,higher_is_better,n_structures,n_oxide,n_nitride,vector_space,raw_space_primary,projected_space,preprocessing,parameters,scenario,source_seed,majority_label_baseline
fixed_test_set,Fixed test set,last_alignn_pool,256,silhouette_score,oxide,0.25456374327432907,0.2476217597241355,0.26169333510196163,0.94999999999999996,bootstrap_over_family_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,43,0.85979142526071839
fixed_test_set,Fixed test set,last_alignn_pool,256,silhouette_score,nitride,0.14533583828654709,0.1316160216690978,0.15817060877426564,0.94999999999999996,bootstrap_over_family_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,43,0.85979142526071839
fixed_test_set,Fixed test set,last_alignn_pool,256,davies_bouldin_index,overall_family_labels,1.8289881053584107,1.733953690415271,1.9071249603130276,0.94999999999999996,stratified_bootstrap_recomputed_index,False,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,43,0.85979142526071839
fixed_test_set,Fixed test set,last_alignn_pool,256,knn_family_purity,overall_family_labels,0.96554654306682119,0.96029258400927009,0.97076091154886057,0.94999999999999996,stratified_bootstrap_over_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",inclusive_baseline_recomputed,43,0.85979142526071839
fixed_test_set,Fixed test set,last_alignn_pool,256,knn_family_purity,oxide,0.98715184186882299,0.98324236298292889,0.99056716082659479,0.94999999999999996,bootstrap_over_family_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",inclusive_baseline_recomputed,43,0.85979142526071839
fixed_test_set,Fixed test set,last_alignn_pool,256,knn_family_purity,nitride,0.83305785123966947,0.79778236914600553,0.86446280991735536,0.94999999999999996,bootstrap_over_family_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",inclusive_baseline_recomputed,43,0.85979142526071839
fixed_test_set,Fixed test set,last_alignn_pool,256,logistic_regression_family_auc,overall_family_labels,0.99936234434519167,0.9983647891559555,0.99994437916286105,0.94999999999999996,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,1726,1484,242,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}",inclusive_baseline_recomputed,43,0.85979142526071839
fixed_test_set,Fixed test set,last_alignn_pool,256,silhouette_score,overall_family_labels,0.25314066002325086,0.24704471812336751,0.25897834890758492,0.94999999999999996,stratified_bootstrap_over_per_structure_silhouette_values,True,1669,1427,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",pure_oxide_filtered,43,0.8550029958058718
fixed_test_set,Fixed test set,last_alignn_pool,256,silhouette_score,oxide,0.27067590656483415,0.26393911574366102,0.27707958087941803,0.94999999999999996,bootstrap_over_family_per_structure_silhouette_values,True,1669,1427,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",pure_oxide_filtered,43,0.8550029958058718
fixed_test_set,Fixed test set,last_alignn_pool,256,silhouette_score,nitride,0.149740673185072,0.13463020699734993,0.16202181522477008,0.94999999999999996,bootstrap_over_family_per_structure_silhouette_values,True,1669,1427,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",pure_oxide_filtered,43,0.8550029958058718
