family,N,seed,test_mae_eV_per_atom,five_seed_mean_eV_per_atom,sample_sd_eV_per_atom_ddof1,zero_shot_mae_eV_per_atom,source_path,source_selector
oxide,10,2,0.0346006281644726,0.0362415397826851,0.0019917022592985,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=10;seed=2
oxide,10,3,0.0356330521631611,0.0362415397826851,0.0019917022592985,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=10;seed=3
oxide,10,4,0.0344718146874353,0.0362415397826851,0.0019917022592985,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=10;seed=4
oxide,50,0,0.0375121783678836,0.037996865501985,0.0017408811915156,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=50;seed=0
oxide,50,1,0.0396273369077816,0.037996865501985,0.0017408811915156,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=50;seed=1
oxide,50,2,0.0365753312153689,0.037996865501985,0.0017408811915156,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=50;seed=2
oxide,50,3,0.0362412606567116,0.037996865501985,0.0017408811915156,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=50;seed=3
oxide,50,4,0.0400282203621793,0.037996865501985,0.0017408811915156,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=50;seed=4
oxide,100,0,0.036354394555073,0.0368741664782259,0.0008672904351739,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=100;seed=0
oxide,100,1,0.0366767123700847,0.0368741664782259,0.0008672904351739,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=100;seed=1
oxide,100,2,0.0370101025059751,0.0368741664782259,0.0008672904351739,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=100;seed=2
oxide,100,3,0.0360440545524922,0.0368741664782259,0.0008672904351739,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=100;seed=3
oxide,100,4,0.0382855684075045,0.0368741664782259,0.0008672904351739,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=100;seed=4
oxide,200,0,0.0367650413853392,0.0365815976496869,0.0003814126369731,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=200;seed=0
oxide,200,1,0.0363878805645003,0.0365815976496869,0.0003814126369731,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=200;seed=1
oxide,200,2,0.0364709263374072,0.0365815976496869,0.0003814126369731,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=200;seed=2
oxide,200,3,0.0361465084100722,0.0365815976496869,0.0003814126369731,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=200;seed=3
oxide,200,4,0.0371376315511153,0.0365815976496869,0.0003814126369731,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=200;seed=4
oxide,500,0,0.0362671728723185,0.036187761287284,0.0001621432637268,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=500;seed=0
oxide,500,1,0.036367783665116,0.036187761287284,0.0001621432637268,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=500;seed=1
oxide,500,2,0.0359306871206022,0.036187761287284,0.0001621432637268,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=500;seed=2
oxide,500,3,0.0361732100759447,0.036187761287284,0.0001621432637268,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=500;seed=3
oxide,500,4,0.0361999527024383,0.036187761287284,0.0001621432637268,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=500;seed=4
oxide,1000,0,0.0359837839242153,0.0359703511524647,0.0001184994442254,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=1000;seed=0
oxide,1000,1,0.0361429201547279,0.0359703511524647,0.0001184994442254,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=1000;seed=1
oxide,1000,2,0.0359479886665752,0.0359703511524647,0.0001184994442254,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=1000;seed=2
oxide,1000,3,0.0359670139400155,0.0359703511524647,0.0001184994442254,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=1000;seed=3
oxide,1000,4,0.0358100490767892,0.0359703511524647,0.0001184994442254,0.0341836068081309,results/summaries/protocol_1/finetune/finetune_runs.csv,family=oxide;N=1000;seed=4
